id,ID2,Einrichtung,Trager,Anzeigen,Typ,Schlagworte,Zielgruppe,Beratungsmoglichkeiten,Prio,Sprachen,Barrierefreiheit,Kategorie,Uber_uns,Strasse,Hausnummer,Zusatz,PLZ,Bezirk,Stadtteil,Telefonnummer,EMail,Website,c24_h_7_Tage,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,Sonntag,Art_der_Anmeldung,Weitere_Offnungszeiten,lat,long,Ready
15,222,AWO Projekt Sifahane,AWO Berlin Kreisverband Südost e.V.,1,Beratung,"[""L"",16,3]",,,Hoch,"Deutsch, Arabisch","Rollstuhlgerechter Zugang, Rollstuhlgerechte Einrichtung",IGPP Handlungsfeld Besondere Bedarfslagen,"Das AWO-Projekt ""Sifahane"" berät und unterstützt die Klienten/-innen, wenn es um ihre Gesundheit geht oder  sie persönliche
Schwierigkeiten haben. Es setzt sich dafür ein, dass sie gesund bleiben oder gesund werden und dass sie im Fall von Krankheit gut versorgt sind.",Wipperstraße,25,,12055,Neukölln,Neukölln,"030 671289-14, 030 671289-15",sifahane@awo-sueost.de,https://www.awo-suedost.de/beratung-und-hilfe/gesundheit-und-migration-sifahane,nein,09:00 - 15:00,09:00 - 15:00,09:00 - 15:00,09:00 - 15:00,09:00 - 15:00,Geschlossen,Geschlossen,"Bitte Termin vereinbaren: vor Ort, telefonisch, per Mail","Montag, Dienstag, Donnerstag, Freitag mit Termin.
Mittwoch: 10:00 – 12:00 Uhr ohne Termin, 12:00 – 15:00 Uhr mit Termin oder nach mündlicher/telefonischer Vereinbarung.",52.47022,13.44297,true
17,624,"Beratungsstelle für Menschen mit Behinderungen, Krebs und chronischen Erkrankungen",Bezirksamt Tempelhof-Schöneberg,1,Beratung,"[""L"",16]",,,Hoch,"Deutsch, Weitere Sprachen mit Sprachmittlung",Rollstuhlrechter Zugang,Andere Angebote des Bezirksamtes,"Wir beraten erwachsene Personen mit Behinderungen, Krebs oder chronischen Erkrankungen, die in unserem Bezirk leben sowie deren Kontaktpersonen. Wir beraten u.a. bei Fragen zu Schwerbehinderung, Eingliederungshilfe, Pflege, materielle Hilfen und Selbsthilfegruppen. Wir bieten außerdem psychosoziale Beratung an. Es besteht die Möglichkeit von Hausbesuchen.",Rathausstraße,27,,12105,Tempelhof-Schöneberg,Tempelhof,030 9027-77575,sozialeberatung@ba-ts.berlin.de,,nein,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,Geschlossen,Geschlossen,Bitte Termin vereinbaren: telefonisch,Offene Sprechstunde: Dienstags von 09:00 bis 12:00 Uhr.,52.4459825,13.3791107,true
18,93,Beratungsstelle für Suchtkranke Treptow-Köpenick,Johannisches Sozialwerk e. V.,1,Beratung,"[""L"",7,12,25]",Angehörige,,Mittel,"Deutsch, Arabisch",Rollstuhlgerechter Zugang,Alkohol- und Medikamentenberatungsstelle,"Wir beraten Erwachsene, die Probleme im Umgang mit Alkohol und/oder Medikamenten haben. 
Darüberhinaus beraten wir auch deren Angehörige und andere Bezugspersonen.
Die Beratungen sind kostenlos, vertraulich und die Berater*innen unterliegen der Schweigepflicht.
Auf Wunsch kann die Beratung auch anonym bei uns oder telefonisch erfolgen.
Bei Bedarf arbeiten wir mit verschiedenen sozialen und medizinischen Einrichtungen zusammen und vermitteln auch in Therapieeinrichtungen.",Radickestraße,48,3.OG,12489,Treptow-Köpenick,Adlershof,030 89688490,suchtberatung@js-ev.de,https://www.johannisches-sozialwerk.de,nein,09:00 - 17:00,09:00 - 19:00,09:00 - 17:00,09:00 - 18:00,09:00 - 15:00,Geschlossen,Geschlossen,"Bitte Termin vereinbaren: vor Ort, telefonisch, per Mail",,52.4355,13.5476,true
19,183,Berliner Aids-Hilfe e.V.,Berliner Aids-Hilfe e. V.,1,Beratung,"[""L"",3,6,15,16,24,13,25]","Divers, LSBTIQ*, Angehörige",,Mittel,"Deutsch, Bulgarisch, Englisch, Französisch, Polnisch, Rumänisch, Russisch, Dänisch, Schwedisch, Spanisch, Italienisch","Rollstuhlgerechter Zugang, Rollstuhlgerechte Einrichtung",IGPP Handlungsfeld Sexuell übertragbare Infektionen,"Beratungsstelle für HIV-positive Menschen und Alle, Fragen zu HIV, Aids, Hepatitis und andere sexuell übertragbare Erkrankungen haben. Es gibt Testangebote, verschiedene Gruppen, ein Café und Aufklärung durch Veranstaltungen. Viele Angebote werden von Ehrenamtlichen gemacht. Es gibt die Möglichkeit sich selbst in der Aids-Hilfe zu engagieren.",Kurfürstenstraße,130,,10785,Tempelhof-Schöneberg,Schöneberg,030 8856400,info@berlin-aidshilfe.de,https://www.berlin-aidshilfe.de,nein,10:00 - 18:00,10:00 - 20:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,Geschlossen,Geschlossen,"Bitte Termin vereinbaren: vor Ort, telefonisch, per Mail, Online",,52.50214,13.35291,true
20,318,Berliner Krebsgesellschaft e.V.,Berliner Krebsgesellschaft e.V.,1,Beratung,"[""L"",16,25]",Angehörige,,Hoch,"Deutsch, Englisch, Türkisch","Rollstuhlgerechter Zugang, Rollstuhlgerechte Einrichtung",IGPP Handlungsfeld Besondere Bedarfslagen,"Die Berliner Krebsgesellschaft e.V. ist eine Non-Profit-Organisation, die seit über sechzig Jahren zum Wohle von Krebspatient;innen in Berlin tätig ist. Kostenfreie persönliche Beratung, direkte Hilfe und weitreichende Unterstützung von Patient:innen und Angehörigen sind unsere Kernaufgaben. Weitere wichtige Aufgaben sind Aufklärung und Information der Berliner Bevölkerung sowie Förderung der Krebsforschung und der ärztlichen Weiterbildung. Ziel unserer gemeinnützigen Organisation ist es, die Lebensqualität der Betroffenen zu verbessern und ihre Heilungschancen zu erhöhen.
Zu den Schwerpunkten der Beratungsstelle der Berliner Krebsgesellschaft e.V. gehören neben Beratungsangeboten mit sozialer und psychologischer Schwerpunktsetzung, die Familienberatung für Familien mit einem von Krebs betroffenen Elternteil sowie ein spezialisiertes kultursensibles Beratungsangebot in türkischer Sprache. Ein ausführliches Kursprogramm und angeleitete Gesprächsgruppen ergänzen das Angebot. Das Beratungsangebot der Berliner Krebsgesellschaft e.V.  orientiert sich an den „Leitlinien für ambulante psychosoziale Krebsberatungsstellen“ der Deutschen Krebsgesellschaft",Robert-Koch-Platz,7,,10115,Mitte,Mitte,030 2700070,beratung@berliner-krebsgesellschaft.de,https://www.berliner-krebsgesellschaft.de,nein,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,Geschlossen,Geschlossen,"Bitte Termin vereinbaren: vor Ort, telefonisch, per Mail",,52.52775,13.37797,true
21,96,Berliner Krisendienst Charlottenburg-Wilmersdorf,"Albatros gGmbH , Caritasverband für das Erzbistum Berlin e.V. ,  Neuhland Hilfe in Krisen gGmbH , Kontakt- und Begegnungsstätte e.V. (KBS e.V.); Krisen- und Beratungsdienst e.V. (KUB e.V.); Platane 19 gGmbH",1,Beratung,"[""L"",1,3,5,6,2,4,10,11,7,9,12,8,15,16,14]",,,Niedrig,"Deutsch, Englisch, ggf. können Dolmetscher hinzugezogen werden",Rollstuhlgerechter Zugang,Krisendienst,"Der Berliner Krisendienst hilft schnell und qualifiziert bei psychosozialen Krisen bis hin zu akuten psychiatrischen Notsituationen. Kostenlos. 24 Stunden am Tag. Auf Wunsch anonym. Telefonisch, persönlich und in zugespitzten Situationen vor Ort (ggf. mit Ärzt*in in Rufbereitschaft). Onlineberatungen nach Terminvergabe. An 9 Berliner Standorten auch in Ihrer Nähe.",Horstweg,2,,14059,Charlottenburg-Wilmersdorf,Charlottenburg,030 39063-20,info@berliner-krisendienst.de,https://www.berliner-krisendienst.de,nein,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,Keine Anmeldung nötig.,"Überregionaler Bereitschaftsdienst aller Regionen. Nachts von 0:00 Uhr bis 8:00 Uhr und an den Wochenenden und Feiertagen von 8:00 bis 16:00 Uhr (in dringenden Fällen Hausbesuche, Ärzt*in in Rufbereitschaft): Große Hamburger Straße 5, 10115 Berlin-Mitte, im Ärztehaus Hedwig, Aufgang 1, EG links. Telefon 030 390 63 10. Werktags von 8 bis 16 Uhr nur telefonische Information und Weitervermittlung – Telefon 030 390 63 10.",52.51186,13.29579,true
22,111,"Berliner Krisendienst Lichtenberg, 
Marzahn-Hellersdorf","Albatros gGmbH , Caritasverband für das Erzbistum Berlin e.V. ,  Neuhland Hilfe in Krisen gGmbH , Kontakt- und Begegnungsstätte e.V. (KBS e.V.); Krisen- und Beratungsdienst e.V. (KUB e.V.); Platane 19 gGmbH",1,Beratung,"[""L"",1,3,5,6,2,4,10,11,7,9,12,8,15,16,14]",,,Niedrig,"Deutsch, Englisch, Polnisch, Russisch, Ukrainisch, Weitere Sprachen mit Sprachmittlung",Rollstuhlgerechter Zugang,Krisendienst,"Der Berliner Krisendienst hilft schnell und qualifiziert bei psychosozialen Krisen bis hin zu akuten psychiatrischen Notsituationen. Kostenlos. 24 Stunden am Tag. Auf Wunsch anonym. Telefonisch, persönlich und in zugespitzten Situationen vor Ort (ggf. mit Ärzt*in in Rufbereitschaft). Onlineberatungen nach Terminvergabe. An 9 Berliner Standorten auch in Ihrer Nähe.",Irenenstraße,21a,,10317,Marzahn-Hellersdorf,Lichtenberg,030 3906370,info@berliner-krisendienst.de,https://www.berliner-krisendienst.de/ich-brauche-hilfe/lichtenberg-marzahn-hellersdorf/,nein,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,"Keine Anmeldung nötig. Termine können vereinbart werden: vor Ort, per Mail, telefonisch oder online.","Überregionaler Bereitschaftsdienst aller Regionen. Nachts von 0:00 Uhr bis 8:00 Uhr und an den Wochenenden und Feiertagen von 8:00 bis 16:00 Uhr (in dringenden Fällen Hausbesuche, Ärzt*in in Rufbereitschaft): Große Hamburger Straße 5, 10115 Berlin-Mitte, im Ärztehaus Hedwig, Aufgang 1, EG links. Telefon 030 390 63 10. Werktags von 8 bis 16 Uhr nur telefonische Information und Weitervermittlung – Telefon 030 390 63 10.",52.50942,13.50015,true
23,468,"Berliner Krisendienst Mitte, 
Friedrichshain-Kreuzberg","Albatros gGmbH , Caritasverband für das Erzbistum Berlin e.V. ,  Neuhland Hilfe in Krisen gGmbH , Kontakt- und Begegnungsstätte e.V. (KBS e.V.); Krisen- und Beratungsdienst e.V. (KUB e.V.); Platane 19 gGmbH",1,Beratung,"[""L"",1,3,5,6,2,4,10,11,7,9,12,8,15,16,14]",,,Niedrig,"Deutsch, Englisch, ggf. können Dolmetscher hinzugezogen werden",Rollstuhlgerechter Zugang,Krisendienst,"Der Berliner Krisendienst hilft schnell und qualifiziert bei psychosozialen Krisen bis hin zu akuten psychiatrischen Notsituationen. Kostenlos. 24 Stunden am Tag. Auf Wunsch anonym. Telefonisch, persönlich und in zugespitzten Situationen vor Ort (ggf. mit Ärzt*in in Rufbereitschaft). Onlineberatungen nach Terminvergabe. An 9 Berliner Standorten auch in Ihrer Nähe.",Große Hamburger Straße,5,,10115,Mitte,Mitte,030 3906310,info@berliner-krisendienst.de,https://www.berliner-krisendienst.de/ich-brauche-hilfe/mitte-friedrichshain-kreuzberg/,nein,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,Keine Anmeldung nötig.,"Überregionaler Bereitschaftsdienst aller Regionen. Nachts von 0:00 Uhr bis 8:00 Uhr und an den Wochenenden und Feiertagen von 8:00 bis 16:00 Uhr (in dringenden Fällen Hausbesuche, Ärzt*in in Rufbereitschaft): Große Hamburger Straße 5, 10115 Berlin-Mitte, im Ärztehaus Hedwig, Aufgang 1, EG links. Telefon 030 390 63 10. Werktags von 8 bis 16 Uhr nur telefonische Information und Weitervermittlung – Telefon 030 390 63 10.",52.52591,13.3984,true
24,117,Berliner Krisendienst Neukölln,Albatros gGmbH,1,Beratung,"[""L"",1,3,5,6,2,4,10,11,7,9,12,8,15,16,14]",,,Niedrig,"Deutsch, Englisch, ggf. können Dolmetscher hinzugezogen werden",Rollstuhlrechter Zugang,Krisendienst,"Der Berliner Krisendienst hilft schnell und qualifiziert bei psychosozialen Krisen bis hin zu akuten psychiatrischen Notsituationen. Kostenlos. 24 Stunden am Tag. Auf Wunsch anonym. Telefonisch, persönlich und in zugespitzten Situationen vor Ort (ggf. mit Ärzt*in in Rufbereitschaft). Onlineberatungen nach Terminvergabe. An 9 Berliner Standorten auch in Ihrer Nähe.",Karl-Marx-Straße,23,,12043,Friedrichshain-Kreuzberg,Neukölln,030 3906390,info@berliner-krisendienst.de,https://www.berliner-krisendienst.de/ich-brauche-hilfe/neukoelln/,nein,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,Keine Anmeldung nötig.,"Überregionaler Bereitschaftsdienst aller Regionen. Nachts von 0:00 Uhr bis 8:00 Uhr und an den Wochenenden und Feiertagen von 8:00 bis 16:00 Uhr (in dringenden Fällen Hausbesuche, Ärzt*in in Rufbereitschaft): Große Hamburger Straße 5, 10115 Berlin-Mitte, im Ärztehaus Hedwig, Aufgang 1, EG links. Telefon 030 390 63 10. Werktags von 8 bis 16 Uhr nur telefonische Information und Weitervermittlung – Telefon 030 390 63 10.",52.48488,13.42801,true
25,105,Berliner Krisendienst Reinickendorf,"Albatros gGmbH , Caritasverband für das Erzbistum Berlin e.V. ,  Neuhland Hilfe in Krisen gGmbH , Kontakt- und Begegnungsstätte e.V. (KBS e.V.); Krisen- und Beratungsdienst e.V. (KUB e.V.); Platane 19 gGmbH",1,Beratung,"[""L"",1,3,5,6,2,4,10,11,7,9,12,8,15,16,14]",,,Niedrig,"Deutsch, Englisch, ggf. können Dolmetscher hinzugezogen werden",Rollstuhlgerechter Zugang,Krisendienst,"Der Berliner Krisendienst hilft schnell und qualifiziert bei psychosozialen Krisen bis hin zu akuten psychiatrischen Notsituationen. Kostenlos. 24 Stunden am Tag. Auf Wunsch anonym. Telefonisch, persönlich und in zugespitzten Situationen vor Ort (ggf. mit Ärzt*in in Rufbereitschaft). Onlineberatungen nach Terminvergabe. An 9 Berliner Standorten auch in Ihrer Nähe.",Berliner Straße,25,,13507,Reinickendorf,Tegel,030 390 6350,info@berliner-krisendienst.de,https://www.berliner-krisendienst.de/ich-brauche-hilfe/reinickendorf/,nein,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,Keine Anmeldung nötig.,"Überregionaler Bereitschaftsdienst aller Regionen. Nachts von 0:00 Uhr bis 8:00 Uhr und an den Wochenenden und Feiertagen von 8:00 bis 16:00 Uhr (in dringenden Fällen Hausbesuche, Ärzt*in in Rufbereitschaft): Große Hamburger Straße 5, 10115 Berlin-Mitte, im Ärztehaus Hedwig, Aufgang 1, EG links. Telefon 030 390 63 10. Werktags von 8 bis 16 Uhr nur telefonische Information und Weitervermittlung – Telefon 030 390 63 10.",52.58389,13.28844,true
26,108,"Berliner Krisendienst Steglitz-Zehlendorf, 
Tempelhof-Schöneberg","Albatros gGmbH , Caritasverband für das Erzbistum Berlin e.V. ,  Neuhland Hilfe in Krisen gGmbH , Kontakt- und Begegnungsstätte e.V. (KBS e.V.); Krisen- und Beratungsdienst e.V. (KUB e.V.); Platane 19 gGmbH",1,Beratung,"[""L"",1,3,5,6,2,4,10,11,7,9,12,8,15,16,14]",,,Niedrig,"Deutsch, Englisch, ggf. können Dolmetscher hinzugezogen werden",Keine Angabe,Krisendienst,"Der Berliner Krisendienst hilft schnell und qualifiziert bei psychosozialen Krisen bis hin zu akuten psychiatrischen Notsituationen. Kostenlos. 24 Stunden am Tag. Auf Wunsch anonym. Telefonisch, persönlich und in zugespitzten Situationen vor Ort (ggf. mit Ärzt*in in Rufbereitschaft). Onlineberatungen nach Terminvergabe. An 9 Berliner Standorten auch in Ihrer Nähe.",Schloßstraße,128,,12163,Steglitz-Zehlendorf,Steglitz,030 3906360,info@berliner-krisendienst.de,https://www.berliner-krisendienst.de/ich-brauche-hilfe/steglitz-zehlendorf-tempelhof-schoeneberg/,nein,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,16:00 - 00:00,Keine Anmeldung nötig.,"Überregionaler Bereitschaftsdienst aller Regionen. Nachts von 0:00 Uhr bis 8:00 Uhr und an den Wochenenden und Feiertagen von 8:00 bis 16:00 Uhr (in dringenden Fällen Hausbesuche, Ärzt*in in Rufbereitschaft): Große Hamburger Straße 5, 10115 Berlin-Mitte, im Ärztehaus Hedwig, Aufgang 1, EG links. Telefon 030 390 63 10. Werktags von 8 bis 16 Uhr nur telefonische Information und Weitervermittlung – Telefon 030 390 63 10.",52.46423,13.32814,true
