Anzeigen;ID;Einrichtung;Prio;Schlagworte;Zielgruppe;Träger;Kategorie;Beratungsmöglichkeiten;Sprachen;Barrierefreiheit;Über uns;Strasse;Hausnummer;Zusatz;PLZ;Bezirk;Stadtteil;Telefonnummer;EMail;Website;24 h/7 Tage;Montag;Dienstag;Mittwoch;Donnerstag;Freitag;Samstag;Sonntag;Art der Anmeldung;Weitere Öffnungszeiten;lat;long
1;198;Amal Projekt;mittel;Alkohol, Drogen, Körperliche Erkrankungen, Gewalterfahrung, Menschen mit Migrationshintergrund;Menschen mit Migrationshintergrund;Wuhletal Psychosoziales Zentrum gGmbH;Kontakt- und Beratungsstelle;Vor Ort in der Einrichtung, Außerhalb der Einrichtung (z.B. Wohnung, Straße), Telefonberatung;Deutsch, Arabisch, Englisch, Russisch, Dari und Persisch;Rollstuhlrechter Zugang;"Beratung und Hilfe für geflüchtete Menschen, die psychosoziale Probleme haben.
Wir beraten kostenlos, sprechen mehrere Sprachen und kommen zu Ihnen, wenn Sie es wünschen.
Wir hören zu, suchen nach weiteren Hilfen, erklären, was es an Hilfen gibt. Wir machen notwendige Termine aus und begleiten bei Bedarf. Wir sind Ansprechpartner bei Krisen und bieten Aktivitäten an.";Alt Marzahn;56;0;12685;Marzahn-Hellersdorf;Marzahn;030 54708505;amal@wuhletal.de;https://www.wuhletal.de;nein;08:00 - 16:00;08:00 - 16:00;08:00 - 16:00;08:00 - 16:00;08:00 - 16:00;Geschlossen;Geschlossen;Bitte Termin vereinbaren: vor Ort, telefonisch, per Mail;;52.54282;13.56139
1;416;Ambulante Suchtberatung Mitte;mittel;Alkohol, Drogen, Medikamente, Kiffen, Angehörige;Angehörige;vista gGmbH;IGPP Handlungsfeld Drogen/Sucht;Vor Ort in der Einrichtung, Außerhalb der Einrichtung (z.B. Wohnung, Straße), Telefonberatung;Deutsch, Englisch, Persisch, Farsi, Dari, Portugiesisch, Italienisch;0;"In unserem Zentrum für integrative Suchthilfe informieren und beraten wir Sie zu Konsum von psychoaktiven Substanzen (Drogen, Alkohol, Medikamente), zu Sucht, Entzug, Therapie und Nachsorge, zu Substitution, Safer Use, Infektionsprophylaxe und vieles mehr.
Wollen Sie Ihren Konsum reduzieren oder beenden? Wir unterstützen und begleiten Sie auf Ihrem Weg zu mehr Konsumkompetenz, um das Risiko gesundheitsschädigender Folgen zu reduzieren. Bei Bedarf vermitteln wir Sie weiter. 
Zu unseren Angeboten gehören auch die Sprechstunden für Jugendliche, Angehörige, Partydrogenkonsument*innen sowie Selbsthilfegruppen und angeleitete Gruppen.";Stromstraße;47;0;10551;Mitte;Moabit;030 224451100;mitte@vistaberlin.de;https://vistaberlin.de/einrichtungen/ambulante-suchtberatung-mitte/;nein;10:00 - 17:00;10:00 - 17:00;10:00 - 19:00;10:00 - 17:00;10:00 - 17:00;Geschlossen;Geschlossen;Termine können vereinbart werden: vor Ort, telefonisch, per Mail;Offene Sprechstunde: Mo 13:00 bis 14:30 Uhr, Mi 16:00 bis 18:00 Uhr, Do 10:30 bis 12:00 Uhr und nach Vereinbarung. Partydrogensprechstunde: Di 14:00 bis 16:00 Uhr. Sprechstunde für Jugendliche: Di 14:00 bis 16:00 Uhr. Sprechstunde für Angehörige: Fr 1:00 bis 16:00 Uhr (mit telefonischer Anmeldung).;52.5295;13.34287
1;422;Ambulante Suchtberatung Pankow;mittel;Alkohol, Drogen, Medikamente, Kiffen, Angehörige;Angehörige;vista gGmbH;IGPP Handlungsfeld Drogen/Sucht;Vor Ort in der Einrichtung, Außerhalb der Einrichtung (z.B. Wohnung, Straße), Telefonberatung;Deutsch, Arabisch, Englisch;0;"In unserem Zentrum für integrative Suchthilfe informieren und beraten wir zum Konsum von psychoaktiven Substanzen (Drogen, Alkohol, Medikamente), zu Sucht, Entzug, Therapie und Nachsorge, zu Substitution, Safer Use, Infektionsprophylaxe und vieles mehr.
Wollen Sie Ihren Konsum reduzieren oder beenden? Wir unterstützen und begleiten Sie auf Ihrem Weg zu mehr Konsumkompetenz, um das Risiko gesundheitsschädigender Folgen zu reduzieren. Bei Bedarf vermitteln wir Sie weiter. 
Zu unseren Angeboten gehören auch die Sprechstunden für Jugendliche, Angehörige, Partydrogenkonsument*innen sowie Selbsthilfegruppen und angeleitete Gruppen.";Greifswalder Straße;87;0;10409;Pankow;Pankow;030 4471110;pankow@vistaberlin.de;https://vistaberlin.de/;nein;11:00 - 17:00;11:00 - 17:00;10:00 - 17:00;11:00 - 18:00;10:00 - 15:00;Geschlossen;Geschlossen;Termine können vereinbart werden: vor Ort, telefonisch, per Mail;Offene Sprechstunde: Mo 13:00 bis 15:00 Uhr, Di 11:00 bis 13:00 Uhr (nur telefonisch), Do 16:00 bis 18:00 Uhr und nach Vereinbarung. Partydrogensprechstunde: Mi 15:00 bis 16:30 Uhr. Sprechstunde für Jugendliche: Mi 15:00 bis 16:30 Uhr. Sprechstunde für Angehörige nach telefonischer Vereinbarung.;52.542;13.44099
1;Sen035;Ambulante Suchtberatung Pankow;mittel;Alkohol, Drogen, Medikamente, Kiffen;0;vista gGmbH;Kontakt- und Beratungsstelle;Vor Ort in der Einrichtung;Deutsch, Englisch, Arabisch;0;0;Greifswalder Straße;87;0;10409;Pankow;0;030 447111-0 ;pankow@vistaberlin.de;https://vistaberlin.de/einrichtungen/ambulante-suchtberatung-pankow/;nein;11:00 - 17:00;11:00 - 17:00;10:00 - 17:00;11:00 - 18:00;10:00 - 15:00;Geschlossen;Geschlossen;Termine können vereinbart werden: vor Ort, telefonisch, per Mail; Offene Sprechstunden:  Mo 13:00 bis 15:00 Uhr. Di  11:00 bis 13:00 Uhr (nur telefonisch). Do 16:00 bis 18:00 Uhr und nach Vereinbarung. Sprechstunde für Partydrogenkonsument*innen: Mi 15 bis 16:30 Uhr. Sprechstunde für Jugendliche: Mi 15 bis 16:30 Uhr. Sprechstunde für Angehörige nach telefonischer Vereinbarung.;52.542;13.44099
1;518;Anlaufstelle für Psychiatriebetroffene;mittel;Traurigkeit & Verzweiflung, Stimmen hören, Medikamente, Gewalterfahrung, Menschen mit Migrationshintergrund, LSBTIQ*, Divers;Menschen mit Migrationshintergrund, LSBTIQ*, Divers;BOP&P e.V. (Berliner Organisation Psychiatrie-Erfahrener und Psychiatrie-Betroffener e.V.);IGPP Handlungsfeld Besondere Bedarfslagen;Vor Ort in der Einrichtung, Außerhalb der Einrichtung (z.B. Wohnung, Straße), Telefonberatung, Videoberatung;Deutsch, Englisch, Weitere Sprachen mit Sprachmittlung;Gebärdensprachler vor Ort;0;Naumannstr.;48;Erdgeschoss, rechts;10829;Tempelhof-Schöneberg;Schöneberg;030  98426176;anlaufstelleboppev@web.de;https://bopp-ev.de/anlaufstelle/;nein;Geschlossen;Geschlossen;Geschlossen;Geschlossen;Geschlossen;Geschlossen;Geschlossen;Bitte Termin vereinbaren: telefonisch, per Mail;"Die Öffnungszeiten der Anlaufstelle sind wechselhaft und auf der Webseite zu finden.
Momentan ist die Telefonzeit der Anlaufstelle jeden Freitag von 12 bis 14 Uhr.";52.48164;13.36325
1;515;ANODE;mittel;Angst & Zwänge, Traurigkeit & Verzweiflung, Einsamkeit, Beziehung zu anderen Menschen;0;KBS e.V.;Kontakt- und Beratungsstelle;Vor Ort in der Einrichtung, Telefonberatung, Rückrufservice;Deutsch, Weitere Sprachen mit Sprachmittlung;Gebärdensprachler vor Ort, Rollstuhlrechter Zugang, Rollstuhlgerechte Einrichtung;"Therapeutische Tagesstätte ANODE.
Therapeutische Hilfen zur sozialen Teilhabe für Menschen mit Depressionen und Angsterkrankungen.
Soziale und psychische Gesundheitsförderung durch die Vermittlung und Anwendung von Wissen und Fähigkeiten rund um die Themen Angst und Depression. Individualisierte und zielorientierte Aktivitätenplanung im Rahmen verschiedener Gruppen- und Einzelangebote von Psycholog:innen, Sozialpädagog:innen und Ergotherapeut:innen angeleitet. 
Über die Verteilung der Plätze wird in der bezirklichen Steuerungsrunde Mitte entschieden.";Utrechter Str.;29;0;13347;Mitte;Wedding;030 45085711;anode@kbsev.de;https://www.kbsev.org/web/tagesstaette-anode.php;nein;09:00 - 16:00;10:00 - 17:30;10:00 - 17:30;09:00 - 16:00;09:00 - 16:00;Geschlossen;Geschlossen;Termine können vereinbart werden: vor Ort, telefonisch, per Mail;;52.55095328554144;13.35873958
1;24;Anonyme Alkoholkrankenhilfe Berlin (AKB) e.V.;mittel;Alkohol, Drogen, Medikamente, Kiffen;0;Bezirksamt Steglitz-Zehlendorf;Alkohol- und Medikamentenberatungsstelle;Vor Ort in der Einrichtung, Telefonberatung;Deutsch, Englisch;Keine Angabe;"Wir beraten Menschen mit Alkohol- und Suchtproblemen.

Unsere Beratung ist jeden Tag, auch am Wochenende und an Feiertagen offen.

Wir beraten von 9 bis 21 Uhr am Telefon unter 030 841 09 444 oder ohne Anmeldung in der Gustav-Meyer-Strasse 7 in 14195 Berlin-Dahlem, 4 Haltestellen mit dem Bus X83 Richtung Clayallee vom U und S-Bahnhof Rathaus Steglitz";Gustav-Meyer-Straße;7;0;14195;Steglitz-Zehlendorf;Dahlem;030 84109444;info@akb-ev.de;https://akb-ev.de;nein;09:00 - 21:00;09:00 - 21:00;09:00 - 21:00;09:00 - 21:00;09:00 - 21:00;09:00 - 21:00;09:00 - 21:00;Keine Anmeldung nötig. ;Beratung ohne Voranmeldung täglich 9:00 - 21:00 Uhr.;52.45678;13.30131
1;530;Arabischsprachige Spezialambulanz ;mittel;Angst & Zwänge, Traurigkeit & Verzweiflung, Einsamkeit, Schwangerschaft & Geburt, Gewalterfahrung, Menschen mit Migrationshintergrund;Menschen mit Migrationshintergrund;Charité - Universitätsmedizin Berlin;Klinik;Vor Ort in der Einrichtung, Videoberatung ;Deutsch, Arabisch;Rollstuhlgerechte Einrichtung;Die Arabischsprachige Ambulanz an der Klinik und Hochschulambulanz für Psychiatrie und Psychotherapie (Campus Benjamin Franklin) bietet Patientinnen und Patienten aus dem arabischsprachigen Raum muttersprachliche psychosoziale und psychiatrische Behandlungen gegen Erkrankungen aus dem gesamten psychiatrischen Spektrum an.;Hindenburgdamm;30;0;12203;Steglitz-Zehlendorf;Steglitz;030 450517666;psych-cbf@charite.de;https://psychiatrie.charite.de/leistungen/ambulanzbereich/arabischsprachige_spezialambulanz/;nein;09:00 - 16:00;09:00 - 16:00;09:00 - 16:00;09:00 - 16:00;09:00 - 16:00;Geschlossen;Geschlossen;Bitte Termin vereinbaren: telefonisch, per Mail;;52.442188;13.32175
1;222;AWO Projekt Sifahane;hoch;Körperliche Erkrankungen;0;AWO Berlin Kreisverband Südost e.V.;Kontakt- und Beratungsstelle;Vor Ort in der Einrichtung, Außerhalb der Einrichtung (z.B. Wohnung, Straße), Telefonberatung, Rückrufservice;Deutsch, Arabisch, Englisch, Französisch, Rumänisch, Spanisch;Rollstuhlrechter Zugang, Rollstuhlgerechte Einrichtung;"Das AWO-Projekt ""Sifahane"" berät und unterstützt die Klienten/-innen, wenn es um ihre Gesundheit geht oder  sie persönliche
Schwierigkeiten haben. Es setzt sich dafür ein, dass sie gesund bleiben oder gesund werden und dass sie im Fall von Krankheit gut versorgt sind.";Wipperstraße;25;0;12055;Neukölln;Neukölln;030 671289-14, 030 671289-15;sifahane@awo-sueost.de;https://www.awo-suedost.de/beratung-und-hilfe/gesundheit-und-migration-sifahane;nein;09:00 - 15:00;09:00 - 15:00;09:00 - 15:00;09:00 - 15:00;09:00 - 15:00;Geschlossen;Geschlossen;Bitte Termin vereinbaren: vor Ort, telefonisch, per Mail;"Montag, Dienstag, Donnerstag, Freitag mit Termin.
Mittwoch: 10:00 – 12:00 Uhr ohne Termin, 12:00 – 15:00 Uhr mit Termin oder nach mündlicher/telefonischer Vereinbarung.";52.47022;13.44297
1;Sen036;BAYAN - Mobile Beratung für Geflüchtete;niedrig;Angst & Zwänge, Traurigkeit & Verzweiflung, Einsamkeit, Drogen, Medikamente, Alkohol, Menschen mit Migrationshintergrund;Menschen mit Migrationshintergrund;Caritasverband für das Erzbistum Berlin e.V.;Kontakt- und Beratungsstelle;Vor Ort in der Einrichtung;Deutsch, Deutsch, Englisch, Arabisch, Farsi, Kurdisch, Weitere Sprachen mit Sprachmittlung;0;Bei BAYAN (????  = Klarheit) handelt es sich um eine mobile Beratung für Geflüchtete, mit dem Ziel, Menschen mit Suchtmittelkonsum und/oder psychischen Beeinträchtigungen  den Zugang in die Regelsysteme (v.a. die Eingliederungshilfe) und Anlaufstellen des Bezirks Steglitz-Zehlendorf zu erleichtern.;Hubertusstraße;9;0;12163;Steglitz-Zehlendorf;0;0172 4295375, 0172 4308167;bayan@caritas-berlin.de;https://www.caritas-berlin.de/beratungundhilfe/berlin/flucht-und-migration/beratung/mobile-beratung-fuer-gefluechtete/mobile-beratung-fuer-gefluechtete;nein;Geschlossen;Geschlossen;10:00 - 13:00;Geschlossen;Geschlossen;Geschlossen;Geschlossen;Bitte Termin vereinbaren: vor Ort, telefonisch, per Mail;;52.46004;13.32601
1;Sen037;Beratungsstelle für Alkohol- und Medikamentenabhängige Menschen;mittel;Alkohol, Medikamente;0;Rettungsring e.V.;Alkohol- und Medikamentenberatungsstelle;Vor Ort in der Einrichtung;Deutsch, Englisch, Französisch;0;0;Backnanger Straße;9;0;13467;Reinickendorf;0;030 40533176, 030 40582441;kontakt@rettungsring.org;https://www.rettungsring-ev.de/;nein;09:00 - 17:00;09:00 - 17:00;09:00 - 17:00;09:00 - 17:00;09:00 - 13:00;Geschlossen;Geschlossen;Bitte Termin vereinbaren: telefonisch, per Mail;;52.61738;13.30563
1;93;Beratungsstelle für Suchtkranke Treptow-Köpenick;mittel;Alkohol, Medikamente, Angehörige;Angehörige;Johannisches Sozialwerk e. V.;Alkohol- und Medikamentenberatungsstelle;Vor Ort in der Einrichtung, Telefonberatung;Deutsch, Arabisch;Rollstuhlgerechter Zugang;"Wir beraten Erwachsene, die Probleme im Umgang mit Alkohol und/oder Medikamenten haben. 
Darüberhinaus beraten wir auch deren Angehörige und andere Bezugspersonen.
Die Beratungen sind kostenlos, vertraulich und die Berater*innen unterliegen der Schweigepflicht.
Auf Wunsch kann die Beratung auch anonym bei uns oder telefonisch erfolgen.
Bei Bedarf arbeiten wir mit verschiedenen sozialen und medizinischen Einrichtungen zusammen und vermitteln auch in Therapieeinrichtungen.";Radickestraße;48;3.OG;12489;Treptow-Köpenick;Adlershof;030 89688490;suchtberatung@js-ev.de;https://www.johannisches-sozialwerk.de;nein;09:00 - 17:00;09:00 - 19:00;09:00 - 17:00;09:00 - 18:00;09:00 - 15:00;Geschlossen;Geschlossen;Bitte Termin vereinbaren: vor Ort, telefonisch, per Mail;;52.4355;13.5476
1;177;Beratungszentrum bei Ess-Störungen;hoch;Essverhalten;0;Dick & Dünn e. V.;IGPP Handlungsfeld Besondere Bedarfslagen;Vor Ort in der Einrichtung, Telefonberatung, Rückrufservice, Videoberatung;Deutsch, Englisch;Keine Angabe;"Zu uns kann man kommen, wenn man Probleme mit dem Essen hat. Probleme mit dem Essen haben die meisten dann, wenn es ihnen nicht gut geht. Es gibt Menschen, die essen viel zu viel. Das nennt sich Esssucht.
Andere Menschen essen viel zu wenig. Das nennt sich Magersucht. Manche Menschen erbrechen nach dem Essen. Das nennt sich Bulimie. 
Das alles sind Essstörungen. Essstörungen sind eine Krankheit der Seele und des Körpers. Wer eine Essstörung hat, braucht eine Ärzt*in, eine Therapeut*in und eine Ernährungsberater*in. Die Ärzt*in hilft dem Körper. 
Die Therapeut*in hilft der Seele. Die Ernährungsberater*in hilft beim Essen. Wir helfen dabei, dass man die richtigen Leute findet, die einem helfen können.";Innsbrucker Straße;37;0;10825;Tempelhof-Schöneberg;Schöneberg;030 8544994;info@dick-und-duenn-berlin.de;https://www.dick-und-duenn-berlin.de;nein;10:00 - 14:00;10:00 - 14:00;Geschlossen;10:00 - 14:00;10:00 - 14:00;Geschlossen;Geschlossen;Bitte Termin vereinbaren: telefonisch, per Mail;;52.48101;13.34302
